Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,10093110,1951,107,268,180,163,1610,4,1,0.09352518,263,80,0.048525576,343,73,83.7,164,89,112,38
Current,10093110,1952,143,505,192,140,1610,6,1,0.113558559,254,78,0.043478261,332,60,90,176,105,120.8,49
Current,10093110,1953,144,280,195,103,1610,6,1,0.1152,260,38,0.05859077,298,54,76,179,81,150.5,83
Current,10093110,1954,77,222,178,145,1610,NA,NA,0.117443204,236,87,0.053333333,323,50,60,162,57,75.2,58
Current,10093110,1955,86,298,188,101,1610,NA,NA,0.194503171,255,34,0.046979866,289,45,51,172,75,123,92
Current,10093110,1956,138,426,188,111,1610,3,1,0.063492063,249,50,0.043478261,299,56,94.9,172,72,122.6,82
Current,10093110,1957,149,477,205,113,1610,7,1,0.127105772,274,44,0.042168675,318,49,63.2,189,96,130,63
Current,10093110,1958,107,270.5,190,106,1610,NA,NA,0.118414918,244,52,0.046979866,296,55,69,174,66.5,93.4,85
Current,10093110,1959,93,214,193,123,1610,NA,NA,0.098913043,262,54,0.052470522,316,51,59,177,69,96.5,65
Current,10093110,1960,66,185,167,156,1610,NA,NA,0.095940519,250,73,0.053156146,323,48,96,151,46,53,58
Current,10093110,1961,62,114,193,111,1610,NA,NA,0.112839367,243,61,0.048217572,304,45,53,177,55.5,106,77
Current,10093110,1962,83,422,186,151,1610,NA,NA,0.13253012,267,70,0.05052654,337,52,79,170,60,65.8,44
Current,10093110,1963,89.6,209.5,204,124,1610,NA,NA,0.11763468,260,68,0.050420168,328,48,77.9,188,64.5,80,53
Current,10093110,1964,109,281,207,126,1610,1,1,0.158456322,275,58,0.040598291,333,49,65,191,71,91.6,48
Current,10093110,1965,196,545,193,126,1610,6,2,0.115942029,270,49,0.056906484,319,53,62.4,177,152,211,62
Current,10093110,1966,83,229,171,156,1610,NA,NA,0.100564575,237,90,0.053296286,327,71,91,155,69,81.6,54
Current,10093110,1967,106,283,212,139,1610,4,1,0.11627907,269,82,0.043956044,351,62,91,196,79,89.4,30
Current,10093110,1968,166.8,435,205,107,1610,5,2,0.091010753,267,45,0.053437577,312,63,82.2,189,117,168,69
Current,10093110,1969,126.2,408,176,139,1610,3,1,0.085470085,242,73,0.052139061,315,65,81,160,76,116.6,66
Current,10093110,1970,97.1,255.5,207,122,1610,NA,NA,0.094117647,267,62,0.040157405,329,58,73,191,70,93,52
Current,10093110,1971,118.9,340.5,174,144,1610,8,1,0.101321586,264,54,0.05027933,318,72,80,158,85,119,63
Current,10093110,1972,129.4,309,183,125,1610,5,2,0.069998188,251,57,0.047299457,308,70,105,167,85,109.8,73
Current,10093110,1973,133.4,315,199,115,1610,NA,NA,0.137662292,256,58,0.056640625,314,65,93.8,183,112.5,130.5,67
Current,10093110,1974,117.2,369,194,125,1610,3,1,0.155291047,261,58,0.0390625,319,61.5,100,178,70,98,62
Current,10093110,1975,124.4,505,212,127,1610,11,4,0.145275912,281,58,0.040723982,339,54,65.5,196,93,113,42
Current,10093110,1976,115.8,282,195,115,1610,NA,NA,0.099408284,250,60,0.043814433,310,71,94,179,64,98,71
Current,10093110,1977,58,102,180,132,1610,NA,NA,0.09247802,252,60,0.057189542,312,38,54.7,164,48.5,62.6,69
Current,10093110,1978,109.3,271.5,170,142,1610,6,2,0.090444384,260,52,0.04645169,312,38,47,154,75.5,98.9,69
Current,10093110,1979,106.2,219.5,190,112,1610,2,1,0.108975659,245,57,0.039660101,302,53,55,174,47,97.9,79
Current,10093110,1980,109.4,466.5,190,122,1610,1,1,0.127659574,261,51,0.049738386,312,43,54,174,73,106,69
Current,10093110,1981,78.3,221,185,142,1610,NA,NA,0.115637022,255,72,0.044757326,327,54,64,169,60,88.8,54
Current,10093110,1982,135.8,514,187,139,1610,NA,NA,0.092852409,269,57,0.050632911,326,65,85,171,122,284.8,55
Current,10093110,1983,232.2,606.5,210,98,1610,24,3,0.112299465,265,43,0.071428571,308,79,144,194,220.5,275,73
Current,10093110,1984,215.7,559.5,204,110,1610,17,3,0.113657716,268,46,0.053666334,314,96.5,119.9,188,161,231,67
Current,10093110,1985,115.8,323,178,160,1610,NA,NA,0.13670412,254,84,0.042346542,338,75,109,162,93.4,111.9,43
Current,10093110,1986,210.1,527,184,132,1610,24,2,0.07751938,261,55,0.05595166,316,100,163.2,168,123.5,141.7,65
Current,10093110,1987,104.8,282,180,107,1610,NA,NA,0.090909091,232,55,0.051739518,287,70.5,106.7,164,70,102,94
Current,10093110,1988,86,146,177,136,1610,NA,NA,0.087665973,243,70,0.072254335,313,52,56,161,78,146.6,68
Current,10093110,1989,111.8,293,180,113,1610,NA,NA,0.12173913,256,37,0.058394161,293,43,64.7,164,112,176,88
