Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,4605050,1951,1216,3160,103,180,3950,38,6,0.035477053,246,37,0.24034744,283,2590,3120,87,1360,2124,98
Current,4605050,1952,950.6,2940,157,135,3950,46,2,0.03895877,220,72,0.095238095,292,2200,2700,141,1120,1560,89
Current,4605050,1953,797.6,1900,18,272,3950,NA,NA,0.133116883,257,33,0.141509434,290,1520,1744,2,142,616.1,91
Current,4605050,1954,468.6,1210,1,232,3950,NA,NA,0.17505927,201,32,0.181818182,233,NA,NA,0,133,783.2,148
Current,4605050,1955,314.8,1120,34,249,3950,NA,NA,0.201058201,252,31,0.099294813,283,812.5,972.4,18,134,735.4,98
Current,4605050,1956,605,1650,25,251,3950,3,1,0.102424506,245,31,0.110799227,276,754,868.6,9,156,492,105
Current,4605050,1957,900,1665,45,240,3950,16,2,0.105805685,241,44,0.075697211,285,954,1254,29,472,994.8,96
Current,4605050,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,4605050,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,4605050,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,4605050,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,4605050,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,4605050,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Current,4605050,1964,384.4,1230,7,289,3950,3,1,0.090909091,269,27,0.140186916,296,NA,NA,0,85,358.4,85
Current,4605050,1965,905,1700,30,262,3950,1,1,0.072077922,220,72,0.124223602,292,776.5,923.2,14,1520,2150,89
Current,4605050,1966,1375,2395,26,226,3950,3,1,0.040833333,199,53,0.088373,252,2110,2242,10,113,184.5,129
Current,4605050,1967,762,1340,44,246,3950,18,3,0.093023256,262,28,0.076463113,290,673,1051,28,963.5,1721,91
Current,4605050,1968,NA,NA,NA,NA,3950,1,1,NA,259,27,0.08,286,NA,NA,NA,158,1038,95
Current,4605050,1969,388.2,1950,6,287,3950,27,4,0.076249458,213,80,0.088659794,293,NA,NA,0,157,795.6,88
Current,4605050,1970,NA,NA,NA,NA,3950,NA,NA,NA,258,27,0.08045977,285,NA,NA,NA,133,1053.6,96
Current,4605050,1971,1500,3110,69,248,3950,96,3,0.034285714,263,54,0.060377358,317,1230,1924,53,2240,2698,64
Current,4605050,1972,1203,3325,134,184,3950,58,4,0.018817204,227,91,0.043314093,318,2925,3741,118,1720,2244,63
Current,4605050,1973,165.8,2495,9,310,3950,NA,NA,0.04735376,226,93,0.081632653,319,NA,NA,0,1450,1910,62
Current,4605050,1974,1610,2700,72,213,3950,18,3,0.048231511,256,29,0.09375,285,1690,1935,56,897,1338,96
Current,4605050,1975,1315,2000,48,256,3950,24,3,0.085714286,269,35,0.125,304,1365,1880,32,1195,2300,77
Current,4605050,1976,NA,NA,NA,NA,3950,49,3,NA,229,54,0.051282051,283,NA,NA,NA,596.5,1780,98
Current,4605050,1977,NA,NA,NA,NA,3950,NA,NA,NA,180,86,0.157125457,266,NA,NA,NA,147.5,770.4,115
Current,4605050,1978,686.4,1520,64,224,3950,7,1,0.079861111,236,52,0.088571429,288,661.5,1115,48,152,916.5,93
Current,4605050,1979,780,1330,42,225,3950,NA,NA,0.17965368,206,61,0.121739499,267,855,1075,26,159,228,114
Current,4605050,1980,781.8,1840,81,227,3950,65,3,0.120777649,255,53,0.115145228,308,900,1540,65,1390,1868,73
